sample_date,site_id,site_type,latitude,longitude,DIP,NH4,NO3,TDN,TN,TP,TN_uM,TP_uM,DIN_uM,NH4_uM,NO3_uM,DIP_uM,env
2022-01-19,TL20,TonleSapOutlet,12.5425931666667,104.426923333333,0.0267,31.6875,0.02297,395.4352078,572.9307692,99.3235,40.9040508613735,3.20669808228972,28.231861023653,1.75666326282842,0.370459970324495,0.281137268693523,river
2022-01-21,TL21,TonleSapOutlet,11.5767465,104.928911666667,,55.22916667,,668.5479452,585.1230769,93.5152,41.7745134042994,3.01917484286135,47.73058216425,3.06174510850705,,,river
2022-02-18,B1,MekongLower,11.0160090322581,105.0613,0.04674,,0.2164,,,,,,,,3.49009741307013,0.492148162499447,river
2022-02-19,M2,MekongLower,11.5411795,104.985486666667,,,,,,,,,,,,,river
2022-02-19,M3,MekongLower,11.0547935,105.205156666667,0.02,,0.02274,,,,,,,,0.366750532223728,0.21058971437717,river
2022-02-20,M1,MekongLower,11.5711361038961,104.9442,0.02,,0.02,,,,,,,,0.322559834849365,0.21058971437717,river
2022-02-20,M4,MekongLower,11.9784602739726,105.46615890411,0.02,,0.02,,,,,,,,0.322559834849365,0.21058971437717,river
2022-02-21,M5,MekongUpper,12.4605270833333,106.02058125,0.0209,,0.02,,,,,,,,0.322559834849365,0.220066251524143,river
2022-02-22,M6,MekongUpper,12.6067736666667,106.019455,0.02821,,0.02,,,,,,,,0.322559834849365,0.297036792128999,river
2022-02-23,M7,MekongUpper,12.83727,105.9246,0.0209,,0.02,,484.8025641,28.7353,34.6121901732742,0.927730410265644,,,0.322559834849365,0.220066251524143,river
2022-02-24,SK1,MekongUpper,13.5554636666667,106.027721666667,0.01,,0.02333,,,,,,,,0.376266047351784,0.105294857188585,river
2022-02-24,SS1,MekongUpper,13.55418,106.029,0.01,,0.2304,,148.9099099,31.3824,10.6313342828789,1.01319307009569,,,3.71588929746468,0.105294857188585,river
2022-02-25,M10,MekongUpper,13.9287868333333,105.94913,0.02,,0.0269,,,,,,,,0.433842977872395,0.21058971437717,river
2022-02-25,M9,MekongUpper,13.5438325,105.961655,0.02,,0.02,,378.7534247,14.6176,27.0408750597928,0.47193493873734,,,0.322559834849365,0.21058971437717,river
2022-04-04,BR1,MekongLower,11.4679966666667,104.9603,0.02,163.5581395,0.3338,751.1479592,713.1441441,107.2647,50.9145012101352,3.46308283324069,53.6277609429773,9.06718974347034,5.3835236436359,0.21058971437717,river
2022-04-04,MRL,MekongLower,11.547453,104.983841666667,0.02,9.372093023,0.1378,253.5459184,384.9063927,40.7941,27.4801625436398,1.31705348924207,18.1017597578302,0.519561704435966,2.22243726211212,0.21058971437717,river
2022-04-04,MRU,MekongLower,11.5941496666667,104.945283333333,0.02,5.186046512,0.1365,270.042517,284.3753754,28.7353,20.3028104692754,0.927730410265644,19.2795245846631,0.287499404716367,2.20147087284691,0.21058971437717,river
