date,depth,DIP,DIN,TP,TN,NO3,DSi,chla,DO,cond,env,dataset,DIN.DIP,TN.TP,season,lon,lat,region,water_level_m
2015-01-01,surface,0.315932889284919,12.6522598707953,,,5.98557057251058,198.891218921809,,,,river_tributary,holtgrieve,40.0473021325267,,falling,103.38533,13.1499,North,3.375
2015-01-01,surface,0.22294835375362,7.05007943862776,,,0.106301581644019,156.44510571174,,,,pelagic,holtgrieve,31.6220295863624,,falling,104.04786,13.03464,North,3.375
2015-01-01,surface,0.290559425261751,9.95041803074182,,,2.27364343506349,175.429318008465,,,,edge,holtgrieve,34.2457245080863,,falling,104.05649,13.0357,North,3.375
2015-01-01,surface,0.227103541991535,6.24382330585876,,,0.14812557807975,166.303077674315,,,,pelagic,holtgrieve,27.4932889690091,,falling,104.20988,12.69156,Central,3.375
2015-03-16,surface,0.208213005,4.901898407,,,0.729004014,125.160193872,,,,pelagic,holtgrieve,23.5427100579044,,low,103.71352,13.23652,North,0.99
2015-03-16,surface,0.183802775510204,2.11457678187755,,,0.530162804571429,118.168674725143,,,,edge,holtgrieve,11.5045965764546,,low,103.70249,13.2396,North,0.99
2015-03-16,surface,0.333785844183673,12.0165204210612,,,3.22110869457143,181.582470582857,,,,pelagic,holtgrieve,36.0006891557956,,low,104.08556,13.05433,North,0.99
2015-03-16,surface,0.636002453877551,38.7414631452653,,,24.675808644,210.061216708571,,,,edge,holtgrieve,60.9140152039793,,low,104.09011,13.06404,North,0.99
2015-03-16,surface,0.689980118877551,19.2979958,,,8.86245929285714,135.414680862857,,,,edge,holtgrieve,27.9689157296209,,low,103.71355,13.10937,North,0.99
2015-03-16,surface,0.453722696326531,11.0721247834286,,,4.04194174114286,32.209773372,,,,pelagic,holtgrieve,24.4028453349847,,low,104.35733,12.73794,Central,0.99
2015-03-16,surface,0.53426413622449,40.8679797994286,,,8.26617408885714,58.1724725194286,,,,edge,holtgrieve,76.4939606244812,,low,104.35436,12.74628,Central,0.99
2015-03-16,surface,0.19176966,6.239018008,,,2.446086516,216.47,,,,river_tributary,holtgrieve,32.5339159906734,,low,103.64016,13.24947,North,0.99
