date,region,blue,coastal,green,red,nir,swir1,swir2
2015-11-15,South,0.0219616238407783,0.00678610180116556,0.061014516570878,0.0424799101537589,-0.00216984078440847,0.00143137610755719,0.00266446606916372
2015-11-15,Central,0.0244279428182551,0.010720995235665,0.0600633239275012,0.0385769453226638,-0.00200834234717561,0.000480925182384463,0.00149808297468155
2015-11-22,South,0.0308863398726376,0.0125698375277468,0.0754479201187276,0.0769132494407158,0.0126367118981316,0.00903322204844092,0.00817739015773757
2015-11-22,Central,0.0366246024057506,0.0183131945626527,0.079596403950285,0.0717897102973787,0.00974236704689739,0.00830192118438162,0.00829772732677824
2015-11-22,North,0.0363750663649981,0.028567269838836,0.0717723443059551,0.0737307068619343,0.0179035067295428,0.00926487191310676,0.00709085329115163
2015-12-01,South,0.0263792358415539,0.00873665761696819,0.0654299892119172,0.0478694379854232,-0.00181365793012424,0.00143589900521138,0.00218146490385579
2015-12-01,Central,0.0180756714564911,0.00634297034266168,0.0522455648429353,0.0417315942686786,0.00117017087279708,0.00142311858908751,0.00219914693713895
2015-12-08,Central,0.0737087661783997,0.0642013302752294,0.107907289626131,0.122556938653885,0.0537208568177762,0.0305220569620253,0.0305130739883077
2015-12-08,North,0.0561509594239546,0.0444362994956943,0.0971757873787342,0.114265647202313,0.0293088228271889,0.0027726729681413,0.00140206567391639
2015-12-17,South,0.0363841797553172,0.0207610621054829,0.0798283523627324,0.0913011621735764,0.0137867920484737,0.000392628745498557,0.00119925530426307
2015-12-17,Central,0.0317476776097002,0.0161109325749237,0.0756862085172799,0.0883772964230075,0.00965300216356514,0.000671299509166738,0.00111920646842882
2015-12-24,South,0.0592176024159665,0.0457717987991289,0.0988992237186798,0.104748667982989,0.0244998730082678,0.00925678906639037,0.00708353797138051
2015-12-24,Central,0.0559041492085962,0.0427310297293281,0.0952096074049486,0.113773984484037,0.0330745757353448,0.0102107773139446,0.0073387808937642
2015-12-24,North,0.0612759134412968,0.0500427368290491,0.101070720716069,0.129397188603208,0.0489026555246699,0.0126916027327265,0.0102535036733746
2016-01-02,South,0.0500415913021913,0.0300276334171544,0.104755481551214,0.122572319810709,0.0253872277366866,0.000602953557247453,0.00129797230022636
2016-01-02,Central,0.0444347923425387,0.025877975121199,0.0961866883938837,0.10106569153128,0.025366621192386,0.000793986199577687,0.00119837647111292
2016-01-09,South,-0.00682205778613383,-0.0322432862826298,0.0756966047827711,0.0815466265190423,-0.00488585524220252,0.00243233591123735,0.00465564124017357
2016-01-09,Central,-0.0204786802512946,-0.0380805728885156,0.0693442925998331,0.0771398352327673,-0.00196460977398728,0.00437007077027512,0.00561808726493171
2016-01-09,North,-0.0849513424124513,-0.0869128294036061,0.00875732293423272,0.036135493727737,-0.00879008463602736,0.00536193907578742,0.00854734936268831
2016-01-18,South,0.0693843793839007,0.0498392238469978,0.120131727976309,0.133822122804169,0.0528188175973057,0.0209916546648664,0.0153735721253088
2016-01-18,Central,0.0713070715944562,0.0556426718267448,0.116269330552408,0.127951868700878,0.0567581343879914,0.0224868572069824,0.0161269901632914
2016-01-25,South,0.08424,0.069087,0.125746861702128,0.153780457317073,0.144027325831057,0.0393153573551704,0.0308854628451726
2016-01-25,Central,0.0759159846880296,0.0631227681914424,0.109614312150143,0.134284516089712,0.0966813201832324,0.0317487361124649,0.024908325440867
2016-01-25,North,0.074460387278812,0.0598050413629836,0.11768057720497,0.155775699239968,0.130873528703749,0.0185030301039363,0.0151232676842463
2016-02-03,South,0.0851896550099475,0.0734906028165455,0.126713581202147,0.158727040960335,0.115299561404505,0.0146814058322004,0.011176668989298
2016-02-03,Central,0.0825299585703128,0.0676291513979887,0.126469001427362,0.152849165605137,0.111487592063425,0.0127372474719023,0.00899227870082621
2016-02-10,South,-0.0229587859971202,-0.0615211494534682,0.063980749971395,0.0825312008067298,0.088370871956994,0.0180410342684929,0.019296162570849
2016-02-10,Central,0.0869252660685178,0.065451023748347,0.141650811262659,0.164551905549219,0.118199872718408,0.0105414183410073,0.00530903934755517
2016-02-10,North,0.0903256816469319,0.0717856698324187,0.141106756030515,0.175292220654225,0.130930207861755,0.0126523634788948,0.00675766961510928
2016-02-19,South,0.0978958934712711,0.078858754204624,0.143806674572511,0.176279952568307,0.143567900941898,0.0183528447071767,0.0123478671197781
2016-02-19,Central,0.105222079587168,0.0876407589491527,0.14478946595284,0.176276967663973,0.149435650984776,0.0202598957534263,0.0131625512957308
