y,from,to,estimate,sterr,t,p,lower_2.5,upper_97.5,p_adj
NO3,low,rising,1.64057633892044,0.298282268971776,5.50007998992281,1.44235576370673e-07,0.982439449279028,2.27632274778355,6.3463653603096e-06
NO3,rising,high,-1.87936212429626,0.20430598930826,-9.198761772278,1.6732488048067e-16,-2.28508898228428,-1.45997754513761,7.36229474114949e-15
NO3,high,falling,0.979371778522287,0.220081789349264,4.45003551369737,1.58492217644399e-05,0.494156987580788,1.4556861909701,0.000697365757635355
NO3,falling,low,-0.740585993146471,0.306462337284276,-2.41656446175146,0.0167719171859708,-1.42817701483512,-0.0349296513327955,0.737964356182713
DSi,low,rising,0.172725166351396,0.146615557361317,1.17808211802336,0.2404704921844,-0.122323193713639,0.465625048808945,1
DSi,rising,high,-0.694637229954453,0.111339922611743,-6.238887307087,3.61339383519976e-09,-0.90843561073585,-0.477250669639806,1.5898932874879e-07
DSi,high,falling,0.155956960113624,0.238150200206518,0.654868062165733,0.513470134628053,-0.290727211102054,0.646389165569994,1
DSi,falling,low,0.365955103489432,0.25085494437422,1.45883153470361,0.146524070875727,-0.156033186253389,0.850655225953181,1
DIN.DIP,low,rising,1.0900022512627,0.253267817264,4.30375348529381,2.95404018407041e-05,0.619037049535513,1.54994915959417,0.00129977768099098
DIN.DIP,rising,high,-0.193615611630321,0.169061600126013,-1.14523707031051,0.253864882347219,-0.512202831645575,0.133989273282769,1
DIN.DIP,high,falling,0.654108198349007,0.187402721987883,3.49038792718977,0.000627289302724385,0.277840573902408,1.02944790216224,0.027600729319873
DIN.DIP,falling,low,-1.55049483798139,0.264591280012896,-5.85996196815638,2.66299042459858e-08,-2.05573776650657,-1.03953392515308,1.17171578682338e-06
TN.TP,low,rising,-0.182699578796569,0.177235712675004,-1.0308282458377,0.304451096684261,-0.5469762435727,0.179042372413151,1
TN.TP,rising,high,-0.0523967370527716,0.116499777274112,-0.449758259447035,0.653600778596071,-0.282376981435854,0.18531722278714,1
TN.TP,high,falling,0.870298056214128,0.123571538611412,7.04286817169851,8.50546274273496e-11,0.617941116966845,1.1181668088946,3.74240360680338e-09
TN.TP,falling,low,-0.635201740364789,0.180351279994553,-3.52202512997953,0.000583497015729319,-1.00796630248434,-0.261049692614642,0.0256738686920901
chla,low,rising,-0.686409699596039,0.205548880479697,-3.33939887190891,0.00103678025985061,-1.0997725283824,-0.281148789811662,0.0456183314334268
chla,rising,high,-0.518377478089887,0.155671996875163,-3.32993401829095,0.00107036136560112,-0.818302800518136,-0.204624507311556,0.0470959000864493
chla,high,falling,0.0622908987999067,0.170269260944524,0.365837606003363,0.7149520380503,-0.276104037965835,0.392918552162359,1
chla,falling,low,1.14249627888602,0.21720639175008,5.25995699150782,4.39308634856193e-07,0.716849558725495,1.57314043090581,1.93295799336725e-05
DO,low,rising,0.20330046443582,0.0932924067274418,2.17917482855569,0.0307365352065619,0.0195123252137176,0.385442235148569,1
DO,rising,high,-0.199018795397061,0.0700568570209767,-2.84081821337589,0.00506705088326516,-0.335047346466707,-0.0601691487396901,0.222950238863667
DO,high,falling,0.274479860439424,0.0766081565527401,3.58290647876981,0.000446895989720231,0.123474420256287,0.423916504470174,0.0196634235476901
DO,falling,low,-0.278761529478181,0.0983170371339918,-2.83533289452437,0.00515069557907318,-0.470564868690107,-0.0859408349963774,0.22663060547922
cond,low,rising,-0.452194261736675,0.139713078020141,-3.23659222275158,0.00163640897558885,-0.730942029449165,-0.176430958217941,0.0720019949259095
cond,rising,high,0.304537823365974,0.0467605474989734,6.51270867546321,2.90977535606993e-09,0.213343124572043,0.396920687512108,1.28030115667077e-07
cond,high,falling,0.00273201778013406,0.0507677289238587,0.0538140633438918,0.957189605500632,-0.0971360386315357,0.101911490440623,1
cond,falling,low,0.144924420590569,0.141553317695815,1.02381507512242,0.308368560995605,-0.134643112633122,0.427322045511797,1
