y,from,variable,estimate,sterr,t,p,lower_2.5,upper_97.5
DIN,high,seasonrising,1.04536800875954,0.129055037694125,8.10017204626428,1.18868030469186e-13,0.796277398281575,1.28970189100934
DIN,high,seasonfalling,0.582966062180451,0.138986965655972,4.19439376512067,4.46821625686752e-05,0.302289218118562,0.863023413538211
DIN,high,datasetholtgrieve,-0.590039507345413,0.14706303428116,-4.01215376950102,9.12734024952246e-05,-0.868449654979218,-0.30030400819753
DIN,high,datasetmiller,0.449051295407252,0.255112946632027,1.76020582779345,0.0802371351278094,-0.0655080326223306,1.00183630492058
DIN,high,datasetloken,0.436061299436783,0.254300940989716,1.71474512732699,0.0882809033460407,-0.0529040446059277,0.965805008468985
DIN,high,datasetyoshikawa,-2.19878228645136,0.171422606156644,-12.826676339538,1.5855816701902e-26,-2.53232822841513,-1.86114073537951
DIN,high,regionCentral,-0.136744956743899,0.12471874324032,-1.09642667325797,0.274499485075065,-0.394990638935768,0.125361551262146
DIN,high,regionSouth,0.0288674411225558,0.177738396410088,0.162415334590682,0.871178737442276,-0.347612249283253,0.421387191534881
DIN,falling,(Intercept),3.05274175881727,0.0978480613376096,31.198796553406,7.2550173137491e-71,2.8705170511455,3.24656462636198
DIN,falling,seasonlow,-0.374567431765122,0.192071261270098,-1.95014823814996,0.052863477061076,-0.758835263611919,0.0125341106353284
DIN,falling,seasonrising,0.462401946579086,0.121424117148175,3.8081557225968,0.000197542404440967,0.221656750392512,0.69855395389262
DIN,falling,seasonhigh,-0.582966062180451,0.138986965655972,-4.19439376512068,4.46821625686736e-05,-0.863023413538212,-0.302289218118562
DIN,falling,datasetholtgrieve,-0.590039507345413,0.147063034281159,-4.01215376950103,9.12734024952222e-05,-0.868449654979217,-0.300304008197531
DIN,falling,datasetmiller,0.449051295407253,0.255112946632026,1.76020582779345,0.0802371351278082,-0.0655080326223293,1.00183630492058
DIN,falling,datasetloken,0.436061299436781,0.254300940989716,1.71474512732698,0.088280903346042,-0.0529040446059283,0.965805008468984
DIN,falling,datasetyoshikawa,-2.19878228645136,0.171422606156643,-12.826676339538,1.58558167018996e-26,-2.53232822841513,-1.86114073537951
DIN,falling,regionCentral,-0.136744956743899,0.12471874324032,-1.09642667325797,0.274499485075062,-0.394990638935767,0.125361551262146
DIN,falling,regionSouth,0.028867441122554,0.177738396410088,0.162415334590672,0.871178737442283,-0.347612249283254,0.421387191534879
TP,low,(Intercept),0.901358874218726,0.144545039983771,6.23583399554856,3.55209826338017e-09,0.620705662537354,1.1865728047561
TP,low,seasonrising,0.0277740722085034,0.158702373345579,0.175007289576095,0.86128590585049,-0.283889730444421,0.336343186621616
TP,low,seasonhigh,-0.574300049608005,0.104839945547757,-5.47787435988699,1.55903446049002e-07,-0.785672703537139,-0.363105983505514
TP,low,seasonfalling,-0.723531405476182,0.164018116785825,-4.4112895554152,1.8360320873845e-05,-1.04251600213245,-0.404863360658067
TP,low,datasetheu,0.429576774218405,0.236497422688509,1.81641207474891,0.0711003711658436,-0.0683789029500817,0.911564312102621
TP,low,datasetloken,1.17721955165674,0.214353184321759,5.49196204097278,1.45726585651462e-07,0.746987156533095,1.63090784451172
TP,low,datasetyoshikawa,-1.84369978019833,0.151326973905951,-12.1835501801826,7.7298825503094e-25,-2.15853348899232,-1.52730322595391
TP,low,regionCentral,-0.0384748797805741,0.122705860553289,-0.313553726016738,0.754251301128678,-0.291834827432159,0.221287394992835
TP,low,regionSouth,1.0954557673119,0.196313193253329,5.58014338801107,9.52677651361742e-08,0.706643779813188,1.50832540099167
TP,rising,(Intercept),0.929132946427229,0.0642325175514929,14.4651491463397,2.88910001259823e-31,0.807647341741738,1.05556500913777
TP,rising,seasonlow,-0.0277740722085121,0.158702373345579,-0.175007289576151,0.861285905850446,-0.336343186621617,0.283889730444421
